content,deep_colab,colab
0.0769563637281719,0.09675788226880526,0.34744816560494274
0.1027774987722698,0.11706550422467683,0.4873769691115932
0.07769250844601337,0.10146006124432076,0.30436077248698046
0.07196627563565089,0.09645178222455053,0.2299903356136149
0.0929699030229311,0.1214492803887476,0.421061955431657
0.10597667714211509,0.12097851812588012,0.3331545124199823
0.0724758685641148,0.0823950289673946,0.43159374855615923
0.08502810363528095,0.13173451981967008,0.2802709935209419
0.07966123933153313,0.09274123866849811,0.30134888153664674
0.10381967998758147,0.1193343612212169,0.3395752949003555
