content,deep_colab,colab
0.03479505795763251,0.043068036982887685,0.08777721942673644
0.02544711890555266,0.04657108609718189,0.11683784722445306
0.023343286199073405,0.0363829684156909,0.07262133717872261
0.02164098478738431,0.03639620768034675,0.056064831487488684
0.03922699175554995,0.04559475107199701,0.09924483874291398
0.035397027497888436,0.04097440185761486,0.07684109229411087
0.018393005742973093,0.02245281653900523,0.09577143952281915
0.024101893325059888,0.038420816312862344,0.0634768799680865
0.022463195801368085,0.03267446550135873,0.07566731187152123
0.028766714428379875,0.03410032424242687,0.07757073513123458
