content,deep_colab,colab
0.02892939022743298,0.047418642611623235,0.21476340909695393
0.030181522557787405,0.09757171998819215,0.37020143835214564
0.021927884156331047,0.033648511725899694,0.09862334436800024
0.08093848716597929,0.09345336721935693,0.06319350318453282
0.0331090710223176,0.053295696534155626,0.2531305082491941
0.017344392801497223,0.05176053125429826,0.2876964172251071
0.017789705440693884,0.019454198779108527,0.3570623856275347
0.0713452451350216,0.11355784541437954,0.35819009792226264
0.030721894844695133,0.0375886131857493,0.38219796852329047
0.019348847859820786,0.04436394685123763,0.30563333019692984
